Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-123,335.75625,-80.9625,90.0,top
D2,D,D_SOD-123,316.70625,-80.9625,90.0,top
D3,D,D_SOD-123,297.65625,-80.9625,90.0,top
D4,D,D_SOD-123,278.60625,-80.9625,90.0,top
D5,D,D_SOD-123,259.55625,-80.9625,90.0,top
D6,D,D_SOD-123,240.50625,-80.9625,90.0,top
D7,D,D_SOD-123,221.45625,-80.9625,90.0,top
D8,D,D_SOD-123,216.69375,-80.9625,90.0,top
D9,D,D_SOD-123,197.64375,-80.9625,90.0,top
D10,D,D_SOD-123,178.59375,-80.9625,90.0,top
D11,D,D_SOD-123,159.54375,-80.9625,90.0,top
D12,D,D_SOD-123,140.49375,-80.9625,90.0,top
D13,D,D_SOD-123,121.44375,-80.9625,90.0,top
D14,D,D_SOD-123,102.39375,-80.9625,90.0,top
D15,D,D_SOD-123,330.99375,-100.0125,90.0,top
D16,D,D_SOD-123,311.94375,-100.0125,90.0,top
D17,D,D_SOD-123,292.89375,-100.0125,90.0,top
D18,D,D_SOD-123,273.84375,-100.0125,90.0,top
D19,D,D_SOD-123,254.79375,-100.0125,90.0,top
D20,D,D_SOD-123,235.74375,-100.0125,90.0,top
D21,D,D_SOD-123,216.69375,-100.0125,90.0,top
D22,D,D_SOD-123,211.93125,-100.0125,90.0,top
D23,D,D_SOD-123,192.88125,-100.0125,90.0,top
D24,D,D_SOD-123,173.83125,-100.0125,90.0,top
D25,D,D_SOD-123,154.78125,-100.0125,90.0,top
D26,D,D_SOD-123,135.73125,-100.0125,90.0,top
D27,D,D_SOD-123,116.68125,-100.0125,90.0,top
D28,D,D_SOD-123,97.63125,-100.0125,90.0,top
D29,D,D_SOD-123,326.23125,-119.0625,90.0,top
D30,D,D_SOD-123,307.18125,-119.0625,90.0,top
D31,D,D_SOD-123,288.13125,-119.0625,90.0,top
D32,D,D_SOD-123,269.08125,-119.0625,90.0,top
D33,D,D_SOD-123,250.03125,-119.0625,90.0,top
D34,D,D_SOD-123,230.98125,-119.0625,90.0,top
D35,D,D_SOD-123,211.93125,-119.0625,90.0,top
D36,D,D_SOD-123,207.16875,-119.0625,90.0,top
D37,D,D_SOD-123,188.11875,-119.0625,90.0,top
D38,D,D_SOD-123,169.06875,-119.0625,90.0,top
D39,D,D_SOD-123,150.01875,-119.0625,90.0,top
D40,D,D_SOD-123,130.96875,-119.0625,90.0,top
D41,D,D_SOD-123,111.91875,-119.0625,90.0,top
D42,D,D_SOD-123,92.86875,-119.0625,90.0,top
D43,D,D_SOD-123,321.46875,-138.1125,90.0,top
D44,D,D_SOD-123,302.41875,-138.1125,90.0,top
D45,D,D_SOD-123,283.36875,-138.1125,90.0,top
D46,D,D_SOD-123,264.31875,-138.1125,90.0,top
D47,D,D_SOD-123,245.26875,-138.1125,90.0,top
D48,D,D_SOD-123,226.21875,-138.1125,90.0,top
D49,D,D_SOD-123,207.16875,-138.1125,90.0,top
D50,D,D_SOD-123,202.40625,-138.1125,90.0,top
D51,D,D_SOD-123,183.35625,-138.1125,90.0,top
D52,D,D_SOD-123,164.30625,-138.1125,90.0,top
D53,D,D_SOD-123,145.25625,-138.1125,90.0,top
D54,D,D_SOD-123,126.20625,-138.1125,90.0,top
D55,D,D_SOD-123,107.15625,-138.1125,90.0,top
D56,D,D_SOD-123,88.10625,-138.1125,90.0,top
D57,D,D_SOD-123,257.175,-154.78125,-90.0,top
D58,D,D_SOD-123,238.125,-154.78125,-90.0,top
D59,D,D_SOD-123,207.16875,-154.78125,-90.0,top
D60,D,D_SOD-123,200.025,-154.78125,-90.0,top
D61,D,D_SOD-123,180.975,-154.78125,-90.0,top
SW1,SW_Push,MX100H,343.5350,-72.3900,180.0,top
SW2,SW_Push,MX100H,324.4850,-72.3900,180.0,top
SW3,SW_Push,MX100H,305.4350,-72.3900,180.0,top
SW4,SW_Push,MX100H,286.3850,-72.3900,180.0,top
SW5,SW_Push,MX100H,267.3350,-72.3900,180.0,top
SW6,SW_Push,MX100H,248.2850,-72.3900,180.0,top
SW7,SW_Push,MX100H,229.2350,-72.3900,180.0,top
SW8,SW_Push,MX100H,210.1850,-72.3900,180.0,top
SW9,SW_Push,MX100H,191.1350,-72.3900,180.0,top
SW10,SW_Push,MX100H,172.0850,-72.3900,180.0,top
SW11,SW_Push,MX100H,153.0350,-72.3900,180.0,top
SW12,SW_Push,MX100H,133.9850,-72.3900,180.0,top
SW13,SW_Push,MX100H,114.9350,-72.3900,180.0,top
SW14,SW_Push,MX100H,95.8850,-72.3900,180.0,top
SW15,SW_Push,MX100H,338.7725,-91.4400,180.0,top
SW16,SW_Push,MX100H,319.7225,-91.4400,180.0,top
SW17,SW_Push,MX100H,300.6725,-91.4400,180.0,top
SW18,SW_Push,MX100H,281.6225,-91.4400,180.0,top
SW19,SW_Push,MX100H,262.5725,-91.4400,180.0,top
SW20,SW_Push,MX100H,243.5225,-91.4400,180.0,top
SW21,SW_Push,MX100H,224.4725,-91.4400,180.0,top
SW22,SW_Push,MX100H,205.4225,-91.4400,180.0,top
SW23,SW_Push,MX100H,186.3725,-91.4400,180.0,top
SW24,SW_Push,MX100H,167.3225,-91.4400,180.0,top
SW25,SW_Push,MX100H,148.2725,-91.4400,180.0,top
SW26,SW_Push,MX100H,129.2225,-91.4400,180.0,top
SW27,SW_Push,MX100H,110.1725,-91.4400,180.0,top
SW28,SW_Push,MX100H,91.1225,-91.4400,180.0,top
SW29,SW_Push,MX100H,334.0100,-110.4900,180.0,top
SW30,SW_Push,MX100H,314.9600,-110.4900,180.0,top
SW31,SW_Push,MX100H,295.9100,-110.4900,180.0,top
SW32,SW_Push,MX100H,276.8600,-110.4900,180.0,top
SW33,SW_Push,MX100H,257.8100,-110.4900,180.0,top
SW34,SW_Push,MX100H,238.7600,-110.4900,180.0,top
SW35,SW_Push,MX100H,219.7100,-110.4900,180.0,top
SW36,SW_Push,MX100H,200.6600,-110.4900,180.0,top
SW37,SW_Push,MX100H,181.6100,-110.4900,180.0,top
SW38,SW_Push,MX100H,162.5600,-110.4900,180.0,top
SW39,SW_Push,MX100H,143.5100,-110.4900,180.0,top
SW40,SW_Push,MX100H,124.4600,-110.4900,180.0,top
SW41,SW_Push,MX100H,105.4100,-110.4900,180.0,top
SW42,SW_Push,MX100H,86.3600,-110.4900,180.0,top
SW43,SW_Push,MX100H,329.2475,-129.5400,180.0,top
SW44,SW_Push,MX100H,310.1975,-129.5400,180.0,top
SW45,SW_Push,MX100H,291.1475,-129.5400,180.0,top
SW46,SW_Push,MX100H,272.0975,-129.5400,180.0,top
SW47,SW_Push,MX100H,253.0475,-129.5400,180.0,top
SW48,SW_Push,MX100H,233.9975,-129.5400,180.0,top
SW49,SW_Push,MX100H,214.9475,-129.5400,180.0,top
SW50,SW_Push,MX100H,195.8975,-129.5400,180.0,top
SW51,SW_Push,MX100H,176.8475,-129.5400,180.0,top
SW52,SW_Push,MX100H,157.7975,-129.5400,180.0,top
SW53,SW_Push,MX100H,138.7475,-129.5400,180.0,top
SW54,SW_Push,MX100H,119.6975,-129.5400,180.0,top
SW55,SW_Push,MX100H,100.6475,-129.5400,180.0,top
SW56,SW_Push,MX100H,81.5975,-129.5400,180.0,top
SW57,SW_Push,MX100H,267.3350,-148.5900,180.0,top
SW58,SW_Push,MX100H,248.2850,-148.5900,180.0,top
SW59,SW_Push,MX200HR,219.7100,-148.5900,180.0,top
SW60,SW_Push,MX100H,191.1350,-148.5900,180.0,top
SW61,SW_Push,MX100H,172.0850,-148.5900,180.0,top
